First Name,Last name,Phone,Birthdate,Email,Address,City,State,Zip code,Blocked,Archived,Opted out,Custom field 1,Custom field 2,Custom field 3,Custom field 4,Custom field 5,Quote
VT,Tanna,15623141235,31/12/1969,vishal+4@textdrip.com,Ganesh Glory,Kolkatta,Gujrat,74856,No,Yes,no,cf1,cf2,cf3,cf4,cf5,Good Luck VT!
KK,Kumar,15626140279,12.10.96,kishan@pranshtech.com,"Building number 300, Vasant nagar",Kolkatta,Karnataka,4565,No,Yes,no,cf1,cf2,cf3,cf4,cf5,Good Luck kishan!
KP,Patel,15205252438,28/12/1979,kishan.patel@pranshtech.com,"Building number 5, Gopal nagar",Ahmedabad,Maharashtra,65654,Yes,No,No,cf1,cf2,cf3,cf4,cf5,Good Luck kishan!
RP,Patel,18185846976,12.10.97,rahul@pranshtech.com,"Building number 15, Gopal nagar",Banglore,Utarakhand,45867654,No,No,No,cf1,cf2,cf3,cf4,cf5,Good luck rahul!
HM,Modi,17472123417,29/12/1979,harsh.modi+121@pranshtech.com,"Vasant nagar, Gota",Banglore,Bihar,45896,yes,yes,yes,cf1,cf2,cf3,cf4,cf5,Good luck Harsh Modi!
DL,Lin,15624493357,12.10.98,vishal+4@textdrip.com,Ganesh Glory,Kolkatta,Gujrat,22953275.7,No,Yes,no,cf1,cf2,cf3,cf4,cf5,Good Luck VT!
DNCTrue,Linda,12483396915,12.10.100,harsh.modi+121@pranshtech.com,"Vasant nagar, Gota",Banglore,Bihar,41275343.3,yes,yes,yes,cf1,cf2,cf3,cf4,cf5,Good luck Harsh Modi!
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
